scenario,mode,audit_budget,observer_error,runs,mttf_mean,mttf_std,accuracy_mean,tp_mean,tn_mean,fp_mean,fn_mean,total_audits_mean,audits_on_bad_mean,audits_on_good_mean,audit_precision_mean,recall_hit_rate_mean,audits_on_intermittent_mean,audits_on_persistent_mean,audits_on_benign_noisy_mean,audits_on_benign_stable_mean,intermittent_detection_rate_mean,persistent_detection_rate_mean,false_attention_rate_mean,mean_cycles_to_verify_intermittent,mean_cycles_to_verify_persistent,cumulative_residual_risk_mean,cumulative_residual_risk_std
medium_noise_mixed,random,3,0.1,15,1520.0,299.332591,0.322,3.933333,17.533333,1.333333,43.866667,22.8,3.933333,18.866667,0.172515,0.082287,1.866667,2.066667,6.333333,12.533333,0.079772,0.084699,0.282813,2.321429,2.387097,174.8,41.65125
medium_noise_mixed,current_only,3,0.1,15,1773.333333,392.371706,0.184524,12.4,0,14.2,40.6,26.6,12.4,14.2,0.466165,0.233962,7.266667,5.133333,10.333333,3.866667,0.273869,0.193955,0.388445,1.697248,2.12987,196.333333,41.889803
medium_noise_mixed,history_based,3,0.1,15,1720.0,280.950767,0.268342,12.866667,4.933333,8,40.533333,25.8,12.866667,12.933333,0.498708,0.240949,5.6,7.266667,11.933333,1,0.211055,0.270471,0.461996,2.904762,3.146789,191.333333,35.518383
medium_noise_mixed,random,5,0.1,15,1720.0,363.684845,0.479216,8.333333,32.4,2.266667,42,43,8.333333,34.666667,0.193798,0.165563,4.4,3.933333,11.066667,23.6,0.164179,0.167139,0.264937,3.060606,2.79661,195.533333,39.665042
medium_noise_mixed,current_only,5,0.1,15,1906.666667,592.696287,0.249015,21.066667,0,26.6,36.933333,47.666667,21.066667,26.6,0.441958,0.363218,13.4,7.666667,20.066667,6.533333,0.446667,0.27381,0.421229,1.686567,2.286957,194.066667,60.673406
medium_noise_mixed,history_based,5,0.1,15,2293.333333,819.322213,0.413545,26.6,11.666667,19.066667,35.2,57.333333,26.6,30.733333,0.463953,0.430421,13.6,13,28.266667,2.466667,0.415479,0.447248,0.495082,3.539216,3.635897,239,86.306431
medium_noise_mixed,random,8,0.1,15,1786.666667,396.4285,0.614508,13.133333,55.2,3.133333,39.733333,71.466667,13.133333,58.333333,0.183769,0.248424,7.666667,5.466667,18.266667,40.066667,0.27845,0.215789,0.259783,2.765217,2.780488,200.6,44.813391
medium_noise_mixed,current_only,8,0.1,15,4666.666667,1067.499675,0.549053,86.8,19.533333,80.333333,7,186.666667,86.8,99.866667,0.465,0.925373,44.666667,42.133333,71.666667,28.2,0.943662,0.906743,0.387981,2.010448,3.174051,251.2,53.298155
medium_noise_mixed,history_based,8,0.1,15,3640.0,1346.996659,0.599352,63.2,35.533333,46.866667,19.133333,145.6,63.2,82.4,0.434066,0.767611,33.066667,30.133333,70.666667,11.733333,0.80389,0.731392,0.493449,2.967742,3.037611,268.733333,57.892391
medium_noise_mixed,random,3,0.15,15,1520.0,299.332591,0.317,3.933333,17.2,1.666667,43.866667,22.8,3.933333,18.866667,0.172515,0.082287,1.866667,2.066667,6.333333,12.533333,0.079772,0.084699,0.282813,2.321429,2.387097,174.8,41.65125
medium_noise_mixed,current_only,3,0.15,15,1613.333333,330.386978,0.127895,8.466667,0,15.733333,42,24.2,8.466667,15.733333,0.349862,0.167768,4.866667,3.6,9.933333,5.8,0.190104,0.144772,0.396429,1.616438,1.833333,183.4,40.657595
medium_noise_mixed,history_based,3,0.15,15,1693.333333,317.21006,0.244221,11.266667,4.933333,9.2,40.933333,25.4,11.266667,14.133333,0.44357,0.215837,4.4,6.866667,11,3.133333,0.170103,0.260759,0.419489,2.469697,3.349515,189.6,35.580519
medium_noise_mixed,random,5,0.15,15,1720.0,363.684845,0.465882,8.333333,31.266667,3.4,42,43,8.333333,34.666667,0.193798,0.165563,4.4,3.933333,11.066667,23.6,0.164179,0.167139,0.264937,3.060606,2.79661,195.533333,39.665042
medium_noise_mixed,current_only,5,0.15,15,2133.333333,626.808495,0.223529,20.266667,0,33.066667,37.333333,53.333333,20.266667,33.066667,0.38,0.351852,11.666667,8.6,20.8,12.266667,0.406032,0.297921,0.393325,2.034286,2.457364,234.066667,58.798488
medium_noise_mixed,history_based,5,0.15,15,2453.333333,548.776417,0.427673,28.8,12,20.533333,34.066667,61.333333,28.8,32.533333,0.469565,0.458112,12.6,16.2,26.2,6.333333,0.389691,0.530568,0.418685,3.883598,3.436214,263,50.496204
medium_noise_mixed,random,8,0.15,15,1786.666667,396.4285,0.598321,13.133333,53.4,4.933333,39.733333,71.466667,13.133333,58.333333,0.183769,0.248424,7.666667,5.466667,18.266667,40.066667,0.27845,0.215789,0.259783,2.765217,2.780488,200.6,44.813391
medium_noise_mixed,current_only,8,0.15,15,4306.666667,1156.700288,0.4556,76.466667,7.333333,88.466667,11.666667,172.266667,76.466667,95.8,0.443885,0.867625,38.4,38.066667,57.866667,37.933333,0.884793,0.850969,0.336891,2.951389,3.611208,312.866667,51.449479
medium_noise_mixed,history_based,8,0.15,15,3453.333333,1257.44008,0.576151,58.8,33,46.333333,21.2,138.133333,58.8,79.333333,0.425676,0.735,30.133333,28.666667,60.666667,18.666667,0.710692,0.762411,0.46325,3.261062,3.093023,268.8,63.153992
medium_noise_mixed,random,3,0.2,15,1520.0,299.332591,0.311,3.933333,16.8,2.066667,43.866667,22.8,3.933333,18.866667,0.172515,0.082287,1.866667,2.066667,6.333333,12.533333,0.079772,0.084699,0.282813,2.321429,2.387097,174.8,41.65125
medium_noise_mixed,current_only,3,0.2,15,1586.666667,267.996683,0.093,6.2,0,17.6,42.866667,23.8,6.2,17.6,0.260504,0.126359,2.933333,3.266667,9.2,8.4,0.126437,0.126289,0.381878,1.545455,1.612245,181.8,32.303147
medium_noise_mixed,history_based,3,0.2,15,1853.333333,330.386978,0.268555,12.933333,5.4,9.466667,40.466667,27.8,12.933333,14.866667,0.465228,0.242197,4.533333,8.4,11.133333,3.733333,0.17801,0.300716,0.412804,2.941176,3.619048,210.333333,41.026279
medium_noise_mixed,random,5,0.2,15,1720.0,363.684845,0.454902,8.333333,30.333333,4.333333,42,43,8.333333,34.666667,0.193798,0.165563,4.4,3.933333,11.066667,23.6,0.164179,0.167139,0.264937,3.060606,2.79661,195.533333,39.665042
medium_noise_mixed,current_only,5,0.2,15,1826.666667,325.50815,0.15182,13.066667,0,32.6,40.4,45.666667,13.066667,32.6,0.286131,0.244389,7.466667,5.6,18,14.6,0.277916,0.210526,0.388561,1.571429,1.821429,199.733333,44.796528
medium_noise_mixed,history_based,5,0.2,15,2200.0,379.473319,0.380466,23.4,11.4,20.2,36.466667,55,23.4,31.6,0.425455,0.390869,8.733333,14.666667,25.066667,6.533333,0.293065,0.487805,0.451375,3.519084,3.618182,238.6,47.171743
medium_noise_mixed,random,8,0.2,15,1786.666667,396.4285,0.576139,13.133333,50.933333,7.4,39.733333,71.466667,13.133333,58.333333,0.183769,0.248424,7.666667,5.466667,18.266667,40.066667,0.27845,0.215789,0.259783,2.765217,2.780488,200.6,44.813391
medium_noise_mixed,current_only,8,0.2,15,2653.333333,728.346682,0.26951,37.066667,0,69.066667,31.4,106.133333,37.066667,69.066667,0.349246,0.541383,19.266667,17.8,36.333333,32.733333,0.566667,0.516441,0.339185,2.723183,2.595506,255.666667,58.261098
medium_noise_mixed,history_based,8,0.2,15,3506.666667,1126.331311,0.536834,55,32.933333,52.333333,23.533333,140.266667,55,85.266667,0.39211,0.70034,25,30,60.8,24.466667,0.641026,0.758853,0.449302,3.912,3.213333,298.2,81.737955
medium_noise_mixed,history_no_stability,3,0.15,15,1946.666667,428.744938,0.259332,17.6,0,11.6,38.666667,29.2,17.6,11.6,0.60274,0.312796,6.666667,10.933333,8.933333,2.666667,0.250627,0.368539,0.304181,3.12,3.27439,217.266667,47.979811
medium_noise_mixed,history_no_stability,5,0.15,15,2520.0,1008.761617,0.359298,33.666667,0.466667,28.866667,32,63,33.666667,29.333333,0.534392,0.51269,15.333333,18.333333,23.866667,5.466667,0.487288,0.536062,0.383863,3.669565,3.141818,240.066667,85.025852
medium_noise_mixed,history_no_stability,8,0.15,15,4280.0,1183.891887,0.486909,76.666667,12.6,81.933333,12.133333,171.2,76.666667,94.533333,0.447819,0.863363,39.333333,37.333333,72.4,22.133333,0.861314,0.865533,0.425363,3.137288,2.925,274.466667,54.416746
