run_id,seed,method,pa,tids,mttf,accuracy,energy,cmvi,nfg,nbr,nam,false_good_evictions,bad_nodes_retained,audit_mismatch_events,audit_count,audit_update_count,collective_update_count
0,42,Q-TCID,0.0,50,15900.0,0.9983769997681429,5958.820590041578,14.0,14,0,0,14,0,0,0,0,0
1,43,Q-TCID,0.0,50,14600.0,0.999167745515073,7762.408710217103,9.0,9,0,0,9,0,0,0,0,0
2,44,Q-TCID,0.0,50,12950.0,0.9985101994040798,6409.974812002853,13.0,13,0,0,13,0,0,0,0,0
3,45,Q-TCID,0.0,50,11900.0,0.9995204411941014,5885.520888561383,4.0,4,0,0,4,0,0,0,0,0
4,46,Q-TCID,0.0,50,13600.0,0.9991410779471763,6738.468265006319,8.0,8,0,0,8,0,0,0,0,0
5,47,Q-TCID,0.0,50,16050.0,0.9994334919555857,6152.07065317966,5.0,5,0,0,5,0,0,0,0,0
6,48,Q-TCID,0.0,50,14600.0,0.9992455270532442,6853.294571982697,7.0,7,0,0,7,0,0,0,0,0
7,49,Q-TCID,0.0,50,12100.0,0.9985888993414863,6317.425283422694,12.0,12,0,0,12,0,0,0,0,0
8,50,Q-TCID,0.0,50,16050.0,0.9989689540611754,6286.661171173677,9.0,9,0,0,9,0,0,0,0,0
9,51,Q-TCID,0.0,50,14050.0,0.99915611814346,7100.238397561014,8.0,8,0,0,8,0,0,0,0,0
10,52,Q-TCID,0.0,50,13650.0,0.9990972692394493,6533.585212722421,8.0,8,0,0,8,0,0,0,0,0
11,53,Q-TCID,0.0,50,13750.0,0.998856416772554,6455.715408451855,9.0,9,0,0,9,0,0,0,0,0
12,54,Q-TCID,0.0,50,10800.0,0.9989544609665427,5901.01175664179,9.0,9,0,0,9,0,0,0,0,0
13,55,Q-TCID,0.0,50,14900.0,0.9983199327973119,7007.8273569867015,14.0,13,1,0,13,1,0,1,0,0
14,56,Q-TCID,0.0,50,12950.0,0.9983531796300988,6249.170500662178,13.0,13,0,0,13,0,0,0,0,0
15,57,Q-TCID,0.0,50,12950.0,0.997876213592233,5098.889463374391,14.0,13,1,0,13,1,0,0,0,0
16,58,Q-TCID,0.0,50,14550.0,0.9994405281414345,6801.045041201636,5.0,5,0,0,5,0,0,0,0,0
17,59,Q-TCID,0.0,50,13200.0,0.9986897274633124,5986.795158965513,10.0,10,0,0,10,0,0,0,0,0
18,60,Q-TCID,0.0,50,13600.0,0.9980195405334038,5369.178403042257,15.0,15,0,0,15,0,0,0,0,0
19,61,Q-TCID,0.0,50,12500.0,0.9986546481905019,4960.658690275624,10.0,10,0,0,10,0,0,0,0,0
20,62,Q-TCID,0.0,50,12350.0,0.9991835901622614,6827.7534344326705,8.0,8,0,0,8,0,0,0,0,0
21,63,Q-TCID,0.0,50,14300.0,0.9989161066551051,7158.996862726286,10.0,10,0,0,10,0,0,0,0,0
22,64,Q-TCID,0.0,50,15700.0,0.9985024335454886,6829.296586008742,12.0,12,0,0,12,0,0,0,0,0
23,65,Q-TCID,0.0,50,10300.0,0.9986838956688203,5712.62855626829,11.0,11,0,0,11,0,0,0,0,0
24,66,Q-TCID,0.0,50,12850.0,0.998438625990872,6165.286361839622,13.0,13,0,0,13,0,0,0,0,0
25,67,Q-TCID,0.0,50,9500.0,0.9987925945800912,5133.194910703227,9.0,8,1,0,8,1,0,1,0,0
26,68,Q-TCID,0.0,50,11150.0,0.9984562403515022,6030.181460013613,13.0,12,1,0,12,1,0,0,0,0
27,69,Q-TCID,0.0,50,13450.0,0.9991833877741484,5491.64133211039,7.0,6,1,0,6,1,0,1,0,0
28,70,Q-TCID,0.0,50,13800.0,0.9985666018224634,7333.590618584305,14.0,14,0,0,14,0,0,0,0,0
29,71,Q-TCID,0.0,50,10600.0,0.9984676007005254,6019.0826388038695,14.0,14,0,0,14,0,0,0,0,0
30,72,Q-TCID,0.0,50,15150.0,0.9991862357591258,6076.733200246468,7.0,7,0,0,7,0,0,0,0,0
31,73,Q-TCID,0.0,50,12700.0,0.9991248222295154,6676.247600730509,8.0,8,0,0,8,0,0,0,0,0
32,74,Q-TCID,0.0,50,15000.0,0.9991665798520679,6758.588587893173,8.0,8,0,0,8,0,0,0,0,0
33,75,Q-TCID,0.0,50,10300.0,0.9989743589743589,4984.142292359844,8.0,8,0,0,8,0,0,0,0,0
34,76,Q-TCID,0.0,50,12800.0,0.9990361445783132,6371.316885845736,8.0,8,0,0,8,0,0,0,0,0
35,77,Q-TCID,0.0,50,13100.0,0.998178269355888,5628.170681612566,14.0,14,0,0,14,0,0,0,0,0
36,78,Q-TCID,0.0,50,12850.0,0.9981098960442825,4883.065861893818,14.0,14,0,0,14,0,0,0,0,0
37,79,Q-TCID,0.0,50,12050.0,0.9986067131095631,5841.719123637304,11.0,11,0,0,11,0,0,0,0,0
38,80,Q-TCID,0.0,50,16050.0,0.998659217877095,7212.097105285153,12.0,12,0,0,12,0,0,0,0,0
39,81,Q-TCID,0.0,50,13350.0,0.9993811242908716,6765.552554132417,6.0,6,0,0,6,0,0,0,0,0
40,82,Q-TCID,0.0,50,12650.0,0.999278759466282,5915.315585004166,6.0,6,0,0,6,0,0,0,0,0
41,83,Q-TCID,0.0,50,14400.0,0.9985339197654272,5049.567963818088,11.0,11,0,0,11,0,0,0,0,0
42,84,Q-TCID,0.0,50,13150.0,0.998898139079334,6745.076119340956,9.0,9,0,0,9,0,0,0,0,0
43,85,Q-TCID,0.0,50,13300.0,0.9991400491400492,6188.354500019923,7.0,7,0,0,7,0,0,0,0,0
44,86,Q-TCID,0.0,50,11550.0,0.9987916219119226,5372.225138286129,9.0,9,0,0,9,0,0,0,0,0
45,87,Q-TCID,0.0,50,9300.0,0.9981754385964913,4668.726060079411,13.0,12,1,0,12,1,0,0,0,0
46,88,Q-TCID,0.0,50,13250.0,0.998164175190139,5683.902195489034,14.0,14,0,0,14,0,0,0,0,0
47,89,Q-TCID,0.0,50,10200.0,0.9981756946393489,5112.1447399985045,13.0,13,0,0,13,0,0,0,0,0
48,90,Q-TCID,0.0,50,14900.0,0.9989863723392274,6874.760206568986,9.0,9,0,0,9,0,0,0,0,0
49,91,Q-TCID,0.0,50,10150.0,0.9988767200224656,5341.559946058318,8.0,8,0,0,8,0,0,0,0,0
50,92,Q-TCID,0.0,50,15050.0,0.9987325728770595,6035.424218703061,10.0,10,0,0,10,0,0,0,0,0
51,93,Q-TCID,0.0,50,11850.0,0.9986554210976654,5525.293907597661,11.0,11,0,0,11,0,0,0,0,0
52,94,Q-TCID,0.0,50,13150.0,0.9993392361569975,6023.257061725482,5.0,5,0,0,5,0,0,0,0,0
53,95,Q-TCID,0.0,50,13300.0,0.9995018059534189,6159.806195233017,4.0,4,0,0,4,0,0,0,0,0
54,96,Q-TCID,0.0,50,13100.0,0.9995268511947007,5701.866062982008,4.0,4,0,0,4,0,0,0,0,0
55,97,Q-TCID,0.0,50,15550.0,0.9989820156090939,6971.345670165494,9.0,9,0,0,9,0,0,0,0,0
56,98,Q-TCID,0.0,50,13850.0,0.9994568169473113,6112.858775153756,4.0,4,0,0,4,0,0,0,0,0
57,99,Q-TCID,0.0,50,10650.0,0.9985577553428608,5613.253549370915,11.0,11,0,0,11,0,0,0,0,0
58,100,Q-TCID,0.0,50,12800.0,0.9985144554908011,6274.592934250832,13.0,13,0,0,13,0,0,0,0,0
59,101,Q-TCID,0.0,50,13050.0,0.9989718545174142,5776.946323975921,8.0,8,0,0,8,0,0,0,0,0
60,102,Q-TCID,0.0,50,14150.0,0.9992135273299253,5861.938366511837,6.0,6,0,0,6,0,0,0,0,0
61,103,Q-TCID,0.0,50,16050.0,0.9993719250497226,7136.739868348464,6.0,6,0,0,6,0,0,0,0,0
62,104,Q-TCID,0.0,50,14850.0,0.9986328610489684,6146.451998600736,11.0,11,0,0,11,0,0,0,0,0
63,105,Q-TCID,0.0,50,11750.0,0.9992311635058944,5641.050062362105,6.0,5,1,0,5,1,0,0,0,0
64,106,Q-TCID,0.0,50,13550.0,0.998778320746335,6534.653548492119,11.0,11,0,0,11,0,0,0,0,0
65,107,Q-TCID,0.0,50,10900.0,0.9986767235675532,5329.353221124038,10.0,10,0,0,10,0,0,0,0,0
66,108,Q-TCID,0.0,50,11200.0,0.9992970123022847,6041.774881072342,6.0,6,0,0,6,0,0,0,0,0
67,109,Q-TCID,0.0,50,13600.0,0.9991075412762159,6542.092330627143,8.0,7,1,0,7,1,0,0,0,0
68,110,Q-TCID,0.0,50,14250.0,0.998598369011213,6166.433833565563,11.0,11,0,0,11,0,0,0,0,0
69,111,Q-TCID,0.0,50,13400.0,0.9983063150254052,6380.298819549382,14.0,14,0,0,14,0,0,0,0,0
70,112,Q-TCID,0.0,50,14150.0,0.9990317114500121,6113.373159006238,8.0,8,0,0,8,0,0,0,0,0
71,113,Q-TCID,0.0,50,13150.0,0.9991219405114696,6597.62600460276,8.0,8,0,0,8,0,0,0,0,0
72,114,Q-TCID,0.0,50,14250.0,0.9993165508600068,6583.144120281562,6.0,6,0,0,6,0,0,0,0,0
73,115,Q-TCID,0.0,50,12400.0,0.9989650711513584,5462.4797234702855,8.0,8,0,0,8,0,0,0,0,0
74,116,Q-TCID,0.0,50,16050.0,0.9990552668871044,6503.15742848441,8.0,8,0,0,8,0,0,0,0,0
75,117,Q-TCID,0.0,50,13450.0,0.9988393087438742,5610.46400607191,9.0,9,0,0,9,0,0,0,0,0
76,118,Q-TCID,0.0,50,12950.0,0.9982790270766406,6655.5733259394765,15.0,15,0,0,15,0,0,0,0,0
