pa,tids,q_cmvi_mean,ta_cmvi_mean,delta_cmvi_percent,paired_t_pvalue,wilcoxon_pvalue,significance
0.0,50,9.525,9.6625,-1.4436,0.78610173,0.92139328,not significant
0.0,100,5.075,4.85,4.4335,0.57550948,0.60277832,not significant
0.0,200,2.65,2.8375,-7.0755,0.54729438,0.71728763,not significant
0.0,350,1.3625,1.7375,-27.5229,0.0978759,0.11401576,not significant
0.0,600,1.05,1.025,2.381,0.892762,0.98565692,not significant
0.0,1000,0.55,0.6125,-11.3636,0.5907714,0.53369529,not significant
0.0,1500,0.35,0.4625,-32.1429,0.2437329,0.26321115,not significant
0.25,50,11.2375,11.075,1.4461,0.77693092,0.74603212,not significant
0.25,100,7.05,6.6875,5.1418,0.40922571,0.25468784,not significant
0.25,200,4.9125,4.9375,-0.5089,0.93738221,0.93732649,not significant
0.25,350,4.0125,4.275,-6.5421,0.4284785,0.46531522,not significant
0.25,600,4.2125,4.175,0.8902,0.89870034,0.86738426,not significant
0.25,1000,5.15,4.9,4.8544,0.42150686,0.47342454,not significant
0.25,1500,6.575,5.025,23.5741,3.473e-05,8.322e-05,TA-QTCID significantly better
0.5,50,13.2625,13.9,-4.8068,0.19806211,0.13602539,not significant
0.5,100,9.5,9.35,1.5789,0.71230456,0.72677776,not significant
0.5,200,7.9625,7.525,5.4945,0.2703368,0.39937703,not significant
0.5,350,8.8375,8.75,0.9901,0.8428065,0.66589657,not significant
0.5,600,11.5875,9.8375,15.1025,0.0006214,0.00063898,TA-QTCID significantly better
0.5,1000,17.2,13.525,21.3663,3e-08,2.3e-07,TA-QTCID significantly better
0.5,1500,23.65,17.1,27.6956,0.0,0.0,TA-QTCID significantly better
0.75,50,15.125,15.55,-2.8099,0.45615937,0.70373542,not significant
0.75,100,11.925,11.3375,4.9266,0.19368973,0.14568882,not significant
0.75,200,12.4875,10.8125,13.4134,0.00074429,0.0008046,TA-QTCID significantly better
0.75,350,15.0875,13.0,13.836,0.00077996,0.00098792,TA-QTCID significantly better
0.75,600,22.375,16.6375,25.6425,0.0,0.0,TA-QTCID significantly better
0.75,1000,35.2,23.2,34.0909,0.0,0.0,TA-QTCID significantly better
0.75,1500,51.3375,35.2375,31.3611,0.0,0.0,TA-QTCID significantly better
1.0,50,17.5125,16.075,8.2084,0.01413352,0.01760758,TA-QTCID significantly better
1.0,100,15.3375,14.3375,6.52,0.09079764,0.05304142,not significant
1.0,200,16.8625,13.875,17.7168,2.46e-06,1.087e-05,TA-QTCID significantly better
1.0,350,23.6125,16.4625,30.2806,0.0,0.0,TA-QTCID significantly better
1.0,600,35.55,22.7125,36.1111,0.0,0.0,TA-QTCID significantly better
1.0,1000,56.1,37.4125,33.3111,0.0,0.0,TA-QTCID significantly better
1.0,1500,75.95,61.5375,18.9763,0.0,0.0,TA-QTCID significantly better
