pa,tids,bvs_mttf_mean,bvs_accuracy_mean,bvs_energy_spent_mean
0.0,50,13073.75,0.99885,14287.2744
0.0,100,13363.75,0.998806,7417.7869
0.0,200,13042.5,0.998758,3808.2172
0.0,350,13142.5,0.998963,2216.615
0.0,600,11970.0,0.998902,1185.4247
0.0,1000,8600.0,0.998901,487.736
0.0,1500,2550.0,0.999307,45.2206
0.25,50,13133.125,0.998559,14126.5799
0.25,100,13032.5,0.998252,7317.6556
0.25,200,12980.0,0.997819,3737.1563
0.25,350,12818.75,0.997039,2123.7513
0.25,600,12015.0,0.994772,1190.2697
0.25,1000,7812.5,0.990834,440.9005
0.25,1500,2643.75,0.984525,49.2581
0.5,50,12868.75,0.998321,14137.8851
0.5,100,12506.25,0.997686,6996.2666
0.5,200,13085.0,0.99634,3680.6306
0.5,350,12849.375,0.993497,2120.5213
0.5,600,11092.5,0.986013,1078.8334
0.5,1000,7462.5,0.968874,415.0601
0.5,1500,2437.5,0.949131,40.3755
0.75,50,12195.625,0.998053,13475.7269
0.75,100,12506.25,0.997114,7209.4493
0.75,200,12467.5,0.994246,3556.274
0.75,350,12372.5,0.988258,1992.1272
0.75,600,10642.5,0.970802,1020.6926
0.75,1000,6837.5,0.932873,373.0696
0.75,1500,2343.75,0.884703,36.338
1.0,50,12213.75,0.997709,13530.6376
1.0,100,12221.25,0.996329,6741.901
1.0,200,12237.5,0.992168,3438.3776
1.0,350,11392.5,0.981075,1875.8457
1.0,600,9562.5,0.952732,921.3689
1.0,1000,5962.5,0.881164,316.5439
1.0,1500,2156.25,0.809796,28.2628
