pa,tids,method,lambda_fg,lambda_br,lambda_am,nfg_mean,nbr_mean,nam_mean,nfg_contribution,nbr_contribution,nam_contribution,cmvi_mean
0.0,50,Q-TCID,1.0,1.0,1.0,9.4125,0.1125,0,9.4125,0.1125,0,9.525
0.0,50,TA-QTCID,1.0,1.0,1.0,9.525,0.1375,0,9.525,0.1375,0,9.6625
0.0,100,Q-TCID,1.0,1.0,1.0,4.9375,0.1375,0,4.9375,0.1375,0,5.075
0.0,100,TA-QTCID,1.0,1.0,1.0,4.7625,0.0875,0,4.7625,0.0875,0,4.85
0.0,200,Q-TCID,1.0,1.0,1.0,2.4875,0.1625,0,2.4875,0.1625,0,2.65
0.0,200,TA-QTCID,1.0,1.0,1.0,2.7,0.1375,0,2.7,0.1375,0,2.8375
0.0,350,Q-TCID,1.0,1.0,1.0,1.2,0.1625,0,1.2,0.1625,0,1.3625
0.0,350,TA-QTCID,1.0,1.0,1.0,1.625,0.1125,0,1.625,0.1125,0,1.7375
0.0,600,Q-TCID,1.0,1.0,1.0,0.825,0.225,0,0.825,0.225,0,1.05
0.0,600,TA-QTCID,1.0,1.0,1.0,0.8875,0.1375,0,0.8875,0.1375,0,1.025
0.0,1000,Q-TCID,1.0,1.0,1.0,0.4625,0.0875,0,0.4625,0.0875,0,0.55
0.0,1000,TA-QTCID,1.0,1.0,1.0,0.45,0.1625,0,0.45,0.1625,0,0.6125
0.0,1500,Q-TCID,1.0,1.0,1.0,0.1875,0.1625,0,0.1875,0.1625,0,0.35
0.0,1500,TA-QTCID,1.0,1.0,1.0,0.2875,0.175,0,0.2875,0.175,0,0.4625
0.25,50,Q-TCID,1.0,1.0,1.0,11.0125,0.1875,0.0375,11.0125,0.1875,0.0375,11.2375
0.25,50,TA-QTCID,1.0,1.0,1.0,10.975,0.075,0.025,10.975,0.075,0.025,11.075
0.25,100,Q-TCID,1.0,1.0,1.0,6.8,0.2,0.05,6.8,0.2,0.05,7.05
0.25,100,TA-QTCID,1.0,1.0,1.0,6.55,0.1,0.0375,6.55,0.1,0.0375,6.6875
0.25,200,Q-TCID,1.0,1.0,1.0,4.5625,0.3,0.05,4.5625,0.3,0.05,4.9125
0.25,200,TA-QTCID,1.0,1.0,1.0,4.7375,0.2,0,4.7375,0.2,0,4.9375
