pa,tids,q_mttf_mean,q_mttf_std,q_accuracy_mean,q_accuracy_std,q_energy_spent_mean,q_energy_spent_std,q_cmvi_mean,q_cmvi_std,q_cmvi_ci95_low,q_cmvi_ci95_high,q_false_good_evictions_mean,q_bad_nodes_retained_mean,q_audit_mismatch_events_mean,ta_mttf_mean,ta_mttf_std,ta_accuracy_mean,ta_accuracy_std,ta_energy_spent_mean,ta_energy_spent_std,ta_cmvi_mean,ta_cmvi_std,ta_cmvi_ci95_low,ta_cmvi_ci95_high,ta_false_good_evictions_mean,ta_bad_nodes_retained_mean,ta_audit_mismatch_events_mean,delta_cmvi_percent,cmvi_improvement_pct,paired_ttest_pvalue,wilcoxon_pvalue
0.0,50,13211.25,1642.3682,0.998858,0.000395,6129.8555,637.3705,9.525,2.9537,8.8635,10.1865,9.4125,0.1125,0,11896.25,1549.1888,0.998819,0.000363,6380.8451,646.563,9.6625,3.0081,8.9889,10.3361,9.525,0.1375,0,-1.4436,-1.4436,0.78610173,0.92139328
0.0,100,13478.75,2036.0313,0.998842,0.000586,3158.5677,362.6773,5.075,2.4483,4.5267,5.6233,4.9375,0.1375,0,12348.75,1708.4345,0.998875,0.000517,3334.8998,372.5363,4.85,2.1857,4.3605,5.3395,4.7625,0.0875,0,4.4335,4.4335,0.57550948,0.60277832
0.0,200,13620.0,1866.4405,0.998834,0.000787,1650.8685,188.0684,2.65,1.7328,2.262,3.038,2.4875,0.1625,0,12765.0,1745.5014,0.998734,0.000918,1736.8436,188.2779,2.8375,2.0642,2.3752,3.2998,2.7,0.1375,0,-7.0755,-7.0755,0.54729438,0.71728763
0.0,350,13860.0,1664.4331,0.998984,0.000989,974.0511,106.4124,1.3625,1.2966,1.0721,1.6529,1.2,0.1625,0,12670.0,1742.4588,0.998675,0.001094,1003.348,108.9988,1.7375,1.4031,1.4233,2.0517,1.625,0.1125,0,-27.5229,-27.5229,0.0978759,0.11401576
0.0,600,13882.5,1853.5624,0.998716,0.001609,586.1995,63.46,1.05,1.2135,0.7783,1.3217,0.825,0.225,0,12832.5,1781.1355,0.998715,0.001304,607.1923,59.3988,1.025,1.0365,0.7929,1.2571,0.8875,0.1375,0,2.381,2.381,0.892762,0.98565692
0.0,1000,13987.5,1939.6762,0.998926,0.001388,357.4419,40.2398,0.55,0.6874,0.3961,0.7039,0.4625,0.0875,0,12387.5,2147.6368,0.998796,0.001524,372.3674,46.0529,0.6125,0.7825,0.4373,0.7877,0.45,0.1625,0,-11.3636,-11.3636,0.5907714,0.53369529
0.0,1500,13837.5,1790.2077,0.999046,0.001513,247.0554,23.7777,0.35,0.55,0.2268,0.4732,0.1875,0.1625,0,12112.5,1952.5224,0.998723,0.001826,256.0455,26.6376,0.4625,0.6508,0.3167,0.6083,0.2875,0.175,0,-32.1429,-32.1429,0.2437329,0.26321115
0.25,50,13157.5,1911.4147,0.998622,0.000477,5977.6631,616.4995,11.2375,3.5505,10.4424,12.0326,11.0125,0.1875,0.0375,11378.75,1670.2128,0.998628,0.000431,6160.1334,718.0714,11.075,3.0894,10.3832,11.7668,10.975,0.075,0.025,1.4461,1.4461,0.77693092,0.74603212
0.25,100,13248.75,1860.6446,0.998373,0.000684,3141.3683,396.8657,7.05,2.7152,6.4419,7.6581,6.8,0.2,0.05,12113.75,1682.0184,0.998423,0.000681,3272.1442,366.2962,6.6875,2.7504,6.0716,7.3034,6.55,0.1,0.0375,5.1418,5.1418,0.40922571,0.25468784
0.25,200,13560.0,1850.7836,0.997824,0.00099,1608.3728,172.0177,4.9125,2.1575,4.4293,5.3957,4.5625,0.3,0.05,12255.0,1872.4249,0.997779,0.000994,1685.6575,200.0708,4.9375,2.0515,4.4781,5.3969,4.7375,0.2,0,-0.5089,-0.5089,0.93738221,0.93732649
0.25,350,13536.25,1793.878,0.99703,0.001477,953.0749,98.8181,4.0125,1.9267,3.581,4.444,3.45,0.4625,0.1,12201.875,1665.485,0.996715,0.001909,975.4889,102.8499,4.275,2.2802,3.7644,4.7856,3.9875,0.2375,0.05,-6.5421,-6.5421,0.4284785,0.46531522
0.25,600,13567.5,1893.7908,0.994916,0.002462,576.1784,67.4698,4.2125,1.8282,3.8031,4.6219,3.4,0.6375,0.175,12090.0,1686.6831,0.994705,0.003069,584.8176,58.0166,4.175,2.1724,3.6885,4.6615,3.75,0.35,0.075,0.8902,0.8902,0.89870034,0.86738426
0.25,1000,13250.0,2106.5374,0.990049,0.005791,360.362,41.5492,5.15,2.5451,4.58,5.72,3.7,1.225,0.225,11800.0,1860.1075,0.990168,0.004896,365.8427,45.6595,4.9,2.1943,4.4086,5.3914,4.1375,0.6875,0.075,4.8544,4.8544,0.42150686,0.47342454
0.25,1500,13200.0,2191.7459,0.982464,0.006968,271.0951,32.3864,6.575,2.3863,6.0406,7.1094,4.1,2.1875,0.2875,11512.5,1894.0284,0.986073,0.006146,256.1179,27.8311,5.025,1.9873,4.58,5.47,4.275,0.6125,0.1375,23.5741,23.5741,3.473e-05,8.322e-05
0.5,50,12807.5,2015.3954,0.998366,0.000446,5936.8013,687.5125,13.2625,3.1375,12.5599,13.9651,12.9125,0.2625,0.0875,11471.875,1918.3138,0.99826,0.000419,6171.1981,815.6728,13.9,3.0765,13.211,14.589,13.8125,0.0375,0.05,-4.8068,-4.8068,0.19806211,0.13602539
0.5,100,12747.5,1960.1004,0.997762,0.000772,3062.1803,393.3257,9.5,2.6693,8.9022,10.0978,9.075,0.3125,0.1125,12188.75,1816.3145,0.997765,0.000741,3271.4396,389.3308,9.35,2.6082,8.7659,9.9341,9.175,0.1,0.075,1.5789,1.5789,0.71230456,0.72677776
0.5,200,13207.5,2031.1188,0.9964,0.001384,1580.4341,194.6759,7.9625,2.8348,7.3277,8.5973,7.3125,0.4625,0.1875,12047.5,1574.2439,0.996519,0.001318,1650.3571,165.5098,7.525,2.6267,6.9368,8.1132,7.325,0.1625,0.0375,5.4945,5.4945,0.2703368,0.39937703
0.5,350,13278.125,1748.5502,0.993308,0.002397,933.6589,89.3286,8.8375,2.6526,8.2435,9.4315,7.6,0.95,0.2875,12096.875,1826.9227,0.993039,0.002746,961.2665,118.2551,8.75,2.8614,8.1092,9.3908,8.2875,0.35,0.1125,0.9901,0.9901,0.8428065,0.66589657
0.5,600,13125.0,2064.0676,0.985789,0.005269,570.1075,72.9034,11.5875,3.3418,10.8391,12.3359,9.1875,1.5875,0.8125,11737.5,2062.9091,0.987042,0.005017,569.4128,73.8038,9.8375,3.08,9.1478,10.5272,9.05,0.5875,0.2,15.1025,15.1025,0.0006214,0.00063898
0.5,1000,12850.0,2345.7408,0.965662,0.01164,395.0908,50.2142,17.2,4.6808,16.1518,18.2482,12.45,3.7,1.05,11300.0,2221.486,0.971482,0.00932,358.5048,49.5886,13.525,3.7914,12.676,14.374,12.05,1.1625,0.3125,21.3663,21.3663,3e-08,2.3e-07
0.5,1500,11850.0,2306.7835,0.936624,0.016185,357.8628,59.9655,23.65,4.7752,22.5806,24.7194,14.1875,7.0625,2.4,9862.5,2284.4242,0.948906,0.017861,256.27,37.6087,17.1,4.5869,16.0728,18.1272,14.5,1.7625,0.8375,27.6956,27.6956,0.0,0.0
0.75,50,12426.875,1927.4975,0.998095,0.000533,5739.925,588.0645,15.125,3.7762,14.2794,15.9706,14.7,0.225,0.2,11463.75,1774.2424,0.998042,0.000494,6151.9465,772.1521,15.55,3.3275,14.8048,16.2952,15.35,0.1,0.1,-2.8099,-2.8099,0.45615937,0.70373542
0.75,100,12395.0,2017.232,0.997199,0.000763,3007.2444,415.0664,11.925,2.8319,11.2908,12.5592,11.2625,0.3375,0.325,11847.5,1703.0102,0.997255,0.000841,3192.5312,366.0056,11.3375,2.7971,10.7111,11.9639,11.0875,0.125,0.125,4.9266,4.9266,0.19368973,0.14568882
0.75,200,12612.5,1929.8559,0.994223,0.001935,1523.1784,191.3767,12.4875,3.3764,11.7314,13.2436,11.5375,0.55,0.4,11202.5,1941.2609,0.994775,0.00189,1547.9908,208.4437,10.8125,3.3057,10.0722,11.5528,10.6,0.075,0.1375,13.4134,13.4134,0.00074429,0.0008046
