pa,tids,q_mttf_mean,q_mttf_std,q_accuracy_mean,q_accuracy_std,q_energy_spent_mean,q_energy_spent_std,q_cmvi_mean,q_cmvi_std,q_cmvi_ci95_low,q_cmvi_ci95_high,ta_mttf_mean,ta_mttf_std,ta_accuracy_mean,ta_accuracy_std,ta_energy_spent_mean,ta_energy_spent_std,ta_cmvi_mean,ta_cmvi_std,ta_cmvi_ci95_low,ta_cmvi_ci95_high,delta_cmvi_percent,cmvi_improvement_pct,paired_ttest_pvalue,wilcoxon_pvalue
0.0,200,13620.0,1866.4405,0.998834,0.000787,1650.8685,188.0684,2.65,1.7328,2.262,3.038,12765.0,1745.5014,0.998734,0.000918,1736.8436,188.2779,2.8375,2.0642,2.3752,3.2998,-7.0755,-7.0755,0.54729438,0.71728763
0.0,600,13882.5,1853.5624,0.998716,0.001609,586.1995,63.46,1.05,1.2135,0.7783,1.3217,12832.5,1781.1355,0.998715,0.001304,607.1923,59.3988,1.025,1.0365,0.7929,1.2571,2.381,2.381,0.892762,0.98565692
0.0,1000,13987.5,1939.6762,0.998926,0.001388,357.4419,40.2398,0.55,0.6874,0.3961,0.7039,12387.5,2147.6368,0.998796,0.001524,372.3674,46.0529,0.6125,0.7825,0.4373,0.7877,-11.3636,-11.3636,0.5907714,0.53369529
0.25,200,13560.0,1850.7836,0.997824,0.00099,1608.3728,172.0177,4.9125,2.1575,4.4293,5.3957,12255.0,1872.4249,0.997779,0.000994,1685.6575,200.0708,4.9375,2.0515,4.4781,5.3969,-0.5089,-0.5089,0.93738221,0.93732649
0.25,600,13567.5,1893.7908,0.994916,0.002462,576.1784,67.4698,4.2125,1.8282,3.8031,4.6219,12090.0,1686.6831,0.994705,0.003069,584.8176,58.0166,4.175,2.1724,3.6885,4.6615,0.8902,0.8902,0.89870034,0.86738426
0.25,1000,13250.0,2106.5374,0.990049,0.005791,360.362,41.5492,5.15,2.5451,4.58,5.72,11800.0,1860.1075,0.990168,0.004896,365.8427,45.6595,4.9,2.1943,4.4086,5.3914,4.8544,4.8544,0.42150686,0.47342454
0.5,200,13207.5,2031.1188,0.9964,0.001384,1580.4341,194.6759,7.9625,2.8348,7.3277,8.5973,12047.5,1574.2439,0.996519,0.001318,1650.3571,165.5098,7.525,2.6267,6.9368,8.1132,5.4945,5.4945,0.2703368,0.39937703
0.5,600,13125.0,2064.0676,0.985789,0.005269,570.1075,72.9034,11.5875,3.3418,10.8391,12.3359,11737.5,2062.9091,0.987042,0.005017,569.4128,73.8038,9.8375,3.08,9.1478,10.5272,15.1025,15.1025,0.0006214,0.00063898
0.5,1000,12850.0,2345.7408,0.965662,0.01164,395.0908,50.2142,17.2,4.6808,16.1518,18.2482,11300.0,2221.486,0.971482,0.00932,358.5048,49.5886,13.525,3.7914,12.676,14.374,21.3663,21.3663,3e-08,2.3e-07
0.75,200,12612.5,1929.8559,0.994223,0.001935,1523.1784,191.3767,12.4875,3.3764,11.7314,13.2436,11202.5,1941.2609,0.994775,0.00189,1547.9908,208.4437,10.8125,3.3057,10.0722,11.5528,13.4134,13.4134,0.00074429,0.0008046
0.75,600,12165.0,2337.258,0.971382,0.00781,569.1049,69.5269,22.375,4.2555,21.422,23.328,10717.5,1941.3124,0.976832,0.008108,529.8592,72.1492,16.6375,4.2019,15.6965,17.5785,25.6425,25.6425,0.0,0.0
0.75,1000,10562.5,2578.0019,0.925943,0.019125,425.6554,68.4475,35.2,6.0196,33.852,36.548,9487.5,2291.2538,0.947249,0.016631,324.7355,49.0984,23.2,5.4713,21.9747,24.4253,34.0909,34.0909,0.0,0.0
1.0,200,12215.0,2078.1663,0.992183,0.002516,1476.4041,179.6749,16.8625,4.2301,15.9152,17.8098,11800.0,1824.2807,0.993478,0.002033,1616.3954,192.2806,13.875,3.5999,13.0688,14.6812,17.7168,17.7168,2.46e-06,1.087e-05
1.0,600,10905.0,2664.3902,0.951168,0.013855,557.5112,80.3186,35.55,5.8671,34.2361,36.8639,9885.0,2152.8528,0.967191,0.009538,502.3535,76.3943,22.7125,4.8456,21.6274,23.7976,36.1111,36.1111,0.0,0.0
1.0,1000,8625.0,2712.8168,0.8701,0.031897,472.3963,93.2966,56.1,8.9702,54.0912,58.1088,7925.0,2572.8146,0.90658,0.027979,314.1377,51.6527,37.4125,7.6186,35.7064,39.1186,33.3111,33.3111,0.0,0.0
