pa,tids,m_voters,method,runs,mttf_mean,mttf_std,accuracy_mean,precision_mean,recall_mean,energy_spent_mean,cmvi_mean,cmvi_std,false_good_evictions_mean,bad_nodes_retained_mean,audit_mismatch_events_mean,cmvi_improvement_vs_q_pct
1.0,600,1,Q-TCID,80,7582.5,2641.4378,0.821044,0.477581,0.904301,526.5383,80.8563,5.719,66.4125,6.425,9.6125,0.0
1.0,600,1,TA-QTCID,80,7687.5,2608.6095,0.8212,0.478099,0.904496,531.1129,78.9663,6.1423,66.425,6.425,9.6875,2.3374
1.0,600,3,Q-TCID,80,9780.0,2999.0999,0.90876,0.644482,0.949862,539.0611,54.8438,6.1031,44.9375,4.3,6.9125,0.0
1.0,600,3,TA-QTCID,80,9952.5,3115.8055,0.909051,0.644983,0.950605,539.072,52.4869,6.2556,44.8875,4.2375,6.875,4.2974
1.0,600,5,Q-TCID,80,10905.0,2664.3902,0.951168,0.775003,0.969507,557.5112,34.8312,6.2164,28.0375,3.0375,4.475,0.0
1.0,600,5,TA-QTCID,80,10995.0,2621.8267,0.95124,0.775135,0.969625,558.2276,33.0064,6.0279,28.0125,3.025,4.45,5.239
1.0,600,7,Q-TCID,80,10582.5,1854.7759,0.973106,0.862132,0.982821,591.9742,21.125,5.2414,16.925,1.85,2.85,0.0
1.0,600,7,TA-QTCID,80,10635.0,1834.6049,0.973293,0.86248,0.983403,591.9839,19.8013,5.1002,16.8875,1.7875,2.8,6.266
1.0,600,9,Q-TCID,80,10605.0,1826.7389,0.984347,0.91352,0.991467,644.8952,12.9125,4.2262,10.45,0.95,2.075,0.0
1.0,600,9,TA-QTCID,80,10642.5,1884.8591,0.984428,0.913727,0.991692,645.075,12.1273,3.9795,10.425,0.925,2.075,6.0813
